Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1996-05,1996,5,14.6,,1.2,,7.9,,24.3,,-7.8,,21.8,E,2.6,E,24.4,E,,,,,,
1996-06,1996,6,,,,,,,,,,,,,,,,,,,,,,
1996-07,1996,7,,,,,,,,,,,,,,,,,,,,,,
1996-08,1996,8,,,,,,,,,,,,,,,,,,,,,,
1996-09,1996,9,,,,,,,,,,,,,,,,,,,,,,
1996-10,1996,10,,,,,,,,,,,,,,,,,,,,,,
1996-11,1996,11,,,,,,,,,,,,,,,,,,,,,,
1996-12,1996,12,,,,,,,,,,,,,,,,,,,,,,
1997-01,1997,1,,,,,,,,,,,,,,,,,,,,,,
1997-02,1997,2,-4.6,,-14.6,,-9.6,,14.2,,-25.1,,0,T,28.2,,28.2,,22,,,,,
1997-03,1997,3,-7.8,E,-20.3,E,-14.1,E,0.7,,-31.2,,,,,,,,,,,,,
1997-04,1997,4,8.5,E,-7.3,E,0.6,E,21.3,,-21.3,,,,,,,,,,,,,
1997-05,1997,5,14.7,,2.2,,8.5,,24.2,,-2.9,,20.6,,1.6,E,22.2,E,0,,,,,
1997-06,1997,6,19.9,E,9.1,E,14.5,E,27.5,,4.1,,121.8,E,0,,121.8,E,0,E,,,,
1997-07,1997,7,22.4,E,12,E,17.2,E,30.5,,9,,186.6,E,0,,186.6,E,0,E,,,,
1997-08,1997,8,23.2,,10.2,,16.7,,29.9,,5.8,,40.4,,0,,40.4,,0,,,,,
1997-09,1997,9,16.4,E,5.5,E,11,E,25.5,,-0.4,,30.6,,0,,30.6,,0,,,,,
1997-10,1997,10,-0.3,,-6.4,,-3.4,,9.6,,-17.1,,23.6,I,,,,,,,,,,
1997-11,1997,11,-7.7,,-15.2,,-11.5,,8.5,,-25.9,,0,,3.8,I,3.8,I,,,,,,
1997-12,1997,12,-11.8,E,-19.8,E,-15.8,E,6.9,,-30.6,,,,,,,,,,,,,
1998-01,1998,1,-25.1,,-31.8,,-28.5,,-10.8,,-44.1,,,,,,,,,,,,,
1998-02,1998,2,-12.2,,-21.6,,-16.9,,-3.1,,-29.6,,,,,,,,,,,,,
1998-03,1998,3,0.1,,-12.5,,-6.2,,12.2,,-30.8,,,,,,,,,,,,,
1998-04,1998,4,13,E,-1,E,6,E,22.8,,-6.4,,30,E,9.2,E,39.2,E,,,,,,
1998-05,1998,5,21.3,,6.1,,13.7,,27.8,,-1.3,,23.8,,0,,23.8,,0,E,,,,
1998-06,1998,6,23.3,,9.9,,16.6,,32.3,,1.2,,79.8,,0,,79.8,,0,,,,,
1998-07,1998,7,24.7,E,12,E,18.4,E,30.9,,5.1,,,,,,,,0,,,,,
1998-08,1998,8,22.8,,9.1,,16,,31.3,,3.4,,,,,,,,0,,,,,
1998-09,1998,9,16.7,,3.2,,10,,24.7,,-3.3,S,,,,,,,,,,,,
1998-10,1998,10,4,,-1.7,,1.2,,19.3,,-14.5,,5.8,,4,E,9.8,E,,,,,,
1998-11,1998,11,-10.2,E,-16.2,E,-13.2,E,0.4,,-28.9,,,,,,,,,,,,,
1998-12,1998,12,-17.8,,-25.2,,-21.5,,-1.2,,-33.8,,,,,,,,,,,,,
1999-01,1999,1,-17.6,,-26.1,,-21.9,,4.3,,-37.2,S,0,,,,,,,,,,,
1999-02,1999,2,-13.4,,-23.2,,-18.3,,-4.5,S,-35.4,,,,,,,,,,,,,
1999-03,1999,3,-0.8,,-13.4,,-7.1,,11.4,S,-23.2,,,,,,,,,,,,,
1999-04,1999,4,10.3,,-3.3,,3.5,,20.3,,-14.4,,,,,,,,,,,,,
1999-05,1999,5,13.5,,2.6,,8.1,,24.2,,-2.1,,36.4,,0,,36.4,,0,,,,,
1999-06,1999,6,20.1,,7.3,,13.7,,31.8,,1.9,,69,,0,,69,,0,,,,,
1999-07,1999,7,22,,9.2,,15.6,,30.3,,5.1,,52.2,,0,,52.2,,0,,,,,
1999-08,1999,8,22.9,,9.9,,16.4,,34.9,,4.3,,71.4,,0,,71.4,,,,,,,
1999-09,1999,9,16,,3.9,,10,,25.5,,-4.4,,11,,0.8,E,11.8,,0,,,,,
1999-10,1999,10,4.9,,-3.6,,0.6,,18.3,,-9.9,,10.2,,6.2,E,16.4,,,,,,,
1999-11,1999,11,-9,,-15.7,,-12.4,,5.2,,-25.6,,,,,,,,,,,,,
1999-12,1999,12,-12.3,,-21.3,,-16.8,,14.3,,-33.6,S,,,,,,,,,,,,
2000-01,2000,1,-17.5,,-26.1,,-21.9,,5.7,,-40.6,,,,,,,,,,,,,
2000-02,2000,2,-5.6,,-17.7,,-11.7,,6.2,,-29.5,,,,,,,,,,,,,
2000-03,2000,3,7.5,I,-6,I,0.8,I,13.7,I,-16.5,I,,,,,,,,,,,,
2000-04,2000,4,7,,-6.6,,0.2,,19.2,,-17.6,,6.6,,0,I,6.6,I,0,,,,,
2000-05,2000,5,14.9,,1.7,,8.3,,22.2,,-4.1,,47,,0,,47,,0,,,,,
2000-06,2000,6,20.7,,8.3,,14.5,,29.7,,4.9,,53.6,,0,,53.6,,0,,,,,
2000-07,2000,7,24.2,,11.4,,17.8,,29.8,,6.7,S,74.4,,0,,74.4,,0,,,,,
2000-08,2000,8,17.5,,7.2,,12.4,,29.3,,0.5,,69.8,,0,,69.8,,0,,,,,
2000-09,2000,9,12.5,,3.1,,7.8,,22.1,,-1,,65.4,,0,,65.4,,0,,,,,
2000-10,2000,10,5.4,,-4.9,,0.3,,16.8,,-15.1,,6.8,,1,E,7.8,,,,,,,
2000-11,2000,11,-5.3,,-13.7,,-9.6,,8.6,,-24.8,,,,,,,,,,,,,
2000-12,2000,12,-20.1,,-26.9,,-23.5,,-9.4,,-37.1,,,,,,,,,,,,,
2001-01,2001,1,-7.9,,-17.1,,-12.5,,7.7,,-24.7,,,,,,,,,,,,,
2001-02,2001,2,-9.7,,-21.2,,-15.4,,9.3,,-35.1,,,,,,,,,,,,,
2001-03,2001,3,-4.2,,-16.3,,-10.3,,9,,-34.1,,,,,,,,,,,,,
2001-04,2001,4,10.2,,-3.8,,3.2,,18.9,,-12.6,,6.8,,0,,6.8,,0,,,,,
2001-05,2001,5,15.2,,1.7,,8.5,,21.3,,-3.5,,77.8,,0,,77.8,,0,,,,,
2001-06,2001,6,21,,8.5,,14.8,,29.2,,3.7,S,87.6,,0,,87.6,,0,,,,,
2001-07,2001,7,23.6,,11.7,,17.7,,31.3,,7.2,,46.8,,0,,46.8,,0,,,,,
2001-08,2001,8,21.9,,9.7,,15.8,,31.5,,4,,41.8,,0,,41.8,,0,,,,,
2001-09,2001,9,14.4,,3.9,,9.1,,25,,-2.2,,65.4,,0,,65.4,,0,,,,,
2001-10,2001,10,3.8,,-3.9,,0,,16.4,,-15.7,,1,,14,E,15,,,,,,,
2001-11,2001,11,-7.9,,-13.9,,-10.9,,5.2,,-31.6,,,,,,,,,,,,,
2001-12,2001,12,-18.5,,-26.1,,-22.3,,-5.4,,-37.1,,,,,,,,,,,,,
2002-01,2002,1,-16.4,,-26,,-21.2,,7.9,,-43.6,,,,,,,,,,,,,
2002-02,2002,2,-10.4,,-23.1,,-16.8,,9.2,,-33.9,,,,,,,,,,,,,
2002-03,2002,3,-6.5,,-21.8,,-14.2,,7.9,,-35.2,,,,,,,,,,,,,
2002-04,2002,4,3.7,,-10.6,,-3.4,,14.6,,-27.8,,3.8,,0,I,3.8,I,,,,,,
2002-05,2002,5,12.8,,-1,,5.9,,26.7,,-14.5,,3.2,,0,,3.2,,0,,,,,
2002-06,2002,6,23.2,,8.4,,15.8,,28.9,,0.9,,58.8,,0,,58.8,,0,,,,,
2002-07,2002,7,21.6,,11.1,,16.4,,29.5,,4,,118.2,,0,,118.2,,0,,,,,
2002-08,2002,8,20,,8.4,,14.2,,26.2,,2,,24,,0,,24,,0,,,,,
2002-09,2002,9,14,,3.4,,8.7,,22,,-3.6,,50,,0,,50,,0,,,,,
2002-10,2002,10,4.6,,-2.6,,1,,15.2,,-11,,10.2,,1,E,11.2,,,,,,,
2002-11,2002,11,-4.5,,-12.2,,-8.4,,10,,-23.8,,,,,,,,,,,,,
2002-12,2002,12,-10.7,,-17.2,,-14,,7.8,,-29.2,,,,,,,,,,,,,
2003-01,2003,1,-18.1,,-25.4,,-21.8,,-0.6,,-43.6,,,,,,,,,,,,,
2003-02,2003,2,-10.9,,-21.6,,-16.3,,11,,-36.6,,,,,,,,,,,,,
2003-03,2003,3,-5.8,,-17.6,,-11.7,,10.5,,-32.9,,,,,,,,,,,,,
2003-04,2003,4,8.8,,-4.1,,2.4,,21.7,,-17.2,,12.4,,0.6,I,13,I,0,,,,,
2003-05,2003,5,17.4,,2.8,,10.1,,27.1,,-4.8,,7.4,,0,,7.4,,0,,,,,
2003-06,2003,6,20.3,,8.1,,14.2,,28.3,,2.2,,52.6,,0,,52.6,,0,,,,,
2003-07,2003,7,26.1,,12,,19.1,,32.9,,5.9,,17,,0,,17,,0,,,,,
2003-08,2003,8,21.6,,8.3,,14.9,,30.2,,2.9,,71.4,,0,,71.4,,0,,,,,
2003-09,2003,9,14.2,,2.9,,8.6,,24.6,,-3.3,,28.4,,0,,28.4,,,,,,,
2003-10,2003,10,7.9,,-1.3,,3.3,,26.5,,-13.3,,15.2,,0,,15.2,,,,,,,
2003-11,2003,11,-7.5,,-16.6,,-12.1,,6.7,,-31.7,,2.4,,,,,,,,,,,
2003-12,2003,12,-12.9,,-20.9,,-16.9,,6,,-30.4,,,,,,,,,,,,,
2004-01,2004,1,-21.7,,-27.9,,-24.8,,-10.2,,-39.2,,,,,,,,,,,,,
2004-02,2004,2,-9.8,,-20.6,,-15.2,,9.4,,-31.6,,,,,,,,,,,,,
2004-03,2004,3,-2.2,,-16.7,,-9.4,,16,,-33.3,,,,,,,,,,,,,
2004-04,2004,4,10.7,,-3.8,,3.5,,20.7,,-14.5,,0.2,,0.4,,0.6,,0,,,,,
2004-05,2004,5,14.4,,2,,8.2,,26.3,,-8.4,,24.8,,0,,24.8,,0,,,,,
2004-06,2004,6,24.4,,9.7,,17.1,,32.9,,3.6,,19.4,,0,,19.4,,0,,,,,
2004-07,2004,7,25.2,,12.2,,18.8,,33.1,,6,,60,,0,,60,,0,,,,,
2004-08,2004,8,21.1,,8.3,,14.7,,31.4,,-0.2,,37.8,,0,,37.8,,0,,,,,
2004-09,2004,9,14,I,2.4,I,8.2,I,23.3,I,-2.8,I,10.6,I,0,I,10.6,I,,M,,,,
2004-10,2004,10,1,I,-8.2,I,-3.6,I,18.4,I,-14.5,I,0,I,0,I,,,,,,,,
2004-11,2004,11,-5.8,,-15.8,,-10.8,,6.7,,-25.3,,,,,,,,,,,,,
2004-12,2004,12,-15.6,,-24.5,,-20.1,,6.2,,-38.3,,,,,,,,,,,,,
2005-01,2005,1,-18.8,,-26.7,,-22.8,,4.5,,-44.7,,,,,,,,,,,,,
2005-02,2005,2,-8.2,,-20.5,,-14.4,,6.6,,-36,,,,,,,,,,,,,
2005-03,2005,3,0.9,,-14.3,,-6.7,,13.6,,-22.2,,,,,,,,,,,,,
2005-04,2005,4,10.5,,-2.2,,4.2,,22.6,,-8.2,,25.8,,0.2,,26,,,,,,,
2005-05,2005,5,19.5,,3.4,,11.5,,31.5,,-4.8,,51,,0,,51,,0,,,,,
2005-06,2005,6,20.4,,7.2,,13.8,,28.3,,3.3,,61.2,,0,,61.2,,0,,,,,
2005-07,2005,7,22,,10.4,,16.2,,30.3,,5.8,,63.6,,0,,63.6,,0,,,,,
2005-08,2005,8,20.8,,8.2,,14.5,,29.1,,2.4,,95.8,,0,,95.8,,0,,,,,
2005-09,2005,9,14.9,,3.9,,9.4,,22.5,,-2.2,,51.6,,0,,51.6,,0,,,,,
2005-10,2005,10,6,,-2.2,,1.9,,14.6,,-8.3,,7,,0,,7,,,,,,,
2005-11,2005,11,-7.7,,-15.4,,-11.6,,12.6,,-26.4,,1.4,,0,,1.4,,,,,,,
2005-12,2005,12,-10.2,,-17,,-13.6,,9.8,,-31.6,,1.4,,0,,1.4,,,,,,,
2006-01,2006,1,-18.3,,-26.2,,-22.3,,-0.4,,-35.2,,0,,,,,,,,,,,
2006-02,2006,2,-6.2,,-18.1,,-12.2,,10.2,,-30.2,,9.4,,,,,,,,,,,
2006-03,2006,3,-5.5,,-18.2,,-11.9,,7.1,,-29.5,,0.8,,0,,0.8,,,,,,,
2006-04,2006,4,11.2,,-3.9,,3.7,,21.9,,-17.8,,1.6,,4.8,,6.4,,,,,,,
2006-05,2006,5,16.9,,3.8,,10.4,,24.1,,-2,,94.4,,0,,94.4,,,,,,,
2006-06,2006,6,22.7,,9.4,,16,,30.7,,1.9,,130,,0,,130,,0,,,,,
2006-07,2006,7,23.7,,12,,17.9,,29.4,,8.3,,29.8,,0,,29.8,,0,,,,,
2006-08,2006,8,21.4,,9,,15.2,,27.8,,4.7,,51.6,,0,,51.6,,0,,,,,
2006-09,2006,9,16,,4.7,,10.4,,25.2,,-3.4,,37.6,,0,,37.6,,0,,,,,
2006-10,2006,10,5.8,,-2.5,,1.7,,16,,-15.3,,15,,13.8,,25.4,,,M,,,,
2006-11,2006,11,-16.3,,-22.3,,-19.3,,-6.4,,-36.3,,0,,,,,,,,,,,
2006-12,2006,12,-9.2,,-18.6,,-13.9,,6.1,,-29.6,,0.2,,0,,0.2,,,,,,,
2007-01,2007,1,-12,,-22.3,,-17.2,,4.8,,-32.7,,0,,0,,0,,,,,,,
2007-02,2007,2,-16.4,,-23.1,,-19.8,,-4.3,,-31.8,,0,,,,,,,,,,,
2007-03,2007,3,-9.1,,-20.9,E,-15,E,10.8,,-38.3,,,,,,,,,,,,,
2007-04,2007,4,10.4,,-4.2,,3.1,,17.8,,-26.7,,14.6,I,0,,14.6,I,,,,,,
2007-05,2007,5,16.9,,2.9,,9.9,,27.7,,-3.5,,38.5,E,2.3,E,40.8,E,,,,,,
2007-06,2007,6,22.4,,8.9,,15.7,,32.1,,1.5,,62.8,,0,,62.8,,0,,,,,
2007-07,2007,7,23.7,,13.2,,18.5,,32.8,,8.9,,241,,0,,241,,0,,,,,
2007-08,2007,8,20,,8.8,,14.4,,28.4,,2.8,,43.6,,0,,43.6,,0,,,,,
2007-09,2007,9,12.2,,3.2,,7.7,,23.9,,-1.5,,79.6,,0,,79.6,,,M,,,,